SURTIFLORA SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODELO PRODUCTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,,,,,,,,,,,
LÍNEA (OBLIGATORIO),GRUPO  (OBLIGATORIO),PRODUCTO  (OBLIGATORIO),DESCRIPCIÓN,REFERENCIA DE FÁBRICA,CÓDIGO DE BARRAS,PRECIO 1,PRECIO 2,PRECIO 3,PRECIO 4,PRECIO 5,PRECIO 6,PRECIO 7,PRECIO 8,PRECIO 9,PRECIO 10,PRECIO 11,PRECIO 12,IVA INCLUIDO,PORCENTAJE DE IVA,EXISTENCIA MÁXIMA,EXISTENCIA MÍNIMA,TIEMPO DE REPOSICIÓN,COSTO DE COMPRA,UNIDAD,CÓDIGO DE PRODUCTO EQUIVALENTE,DESCRIPCIÓN PRODUCTO EQUIVALENTE,MARCA,MANEJA FACTOR DE CONVERSIÓN,NOMBRE FACTOR DE CONVERSIÓN 1,NOMBRE FACTOR DE CONVERSIÓN 2,NOMBRE FACTOR DE CONVERSIÓN 3,NOMBRE FACTOR DE CONVERSIÓN 4,NOMBRE FACTOR DE CONVERSIÓN 5,OPERANDO 1,OPERANDO 2,OPERANDO 3,OPERANDO 4,OPERANDO 5,FACTOR 1,FACTOR 2,FACTOR 3,FACTOR 4,FACTOR 5,TARIFA,UBICACIÓN,DISCRIMINAR IVA EN LA IMPRESIÓN,ACTIVO,PESO,ENVIAR A ISIIGO,NIT PROVEEDOR 1,NIT PROVEEDOR 2,NIT PROVEEDOR 3,NIT PROVEEDOR 4,SUCURSAL PROVEEDOR 1,SUCURSAL PROVEEDOR 2,SUCURSAL PROVEEDOR 3,SUCURSAL PROVEEDOR 4,AÑO ULTIMA COMPRA 1,MES ULTIMA COMPRA 1,DÍA ULTIMA COMPRA 1,AÑO ULTIMA COMPRA 2,MES ULTIMA COMPRA 2,DÍA ULTIMA COMPRA 2,AÑO ULTIMA COMPRA 3,MES ULTIMA COMPRA 3,DÍA ULTIMA COMPRA 3,AÑO ULTIMA COMPRA 4,MES ULTIMA COMPRA 4,DÍA ULTIMA COMPRA 4,VALOR ÚLTIMA COMPRA 1,VALOR ÚLTIMA COMPRA 2,VALOR ÚLTIMA COMPRA 3,VALOR ÚLTIMA COMPRA 4,DESCRIPCIÓN LARGA,MANEJA PESO EN CAJERO,MANEJA MÁXIMOS Y MÍNIMOS PARA PRODUCTOS,COSTO UNITARIO,MODELO,UNIDAD DE MEDIDA FACTURA ELECTRÓNICA,CÓDIGO ARANCELARIO,UNIDAD MEDIDA DE CONVERSIÓN 1 FACTURA ELECTRÓNICA,UNIDAD MEDIDA DE CONVERSIÓN 2 FACTURA ELECTRÓNICA,UNIDAD MEDIDA DE CONVERSIÓN 3 FACTURA ELECTRÓNICA,UNIDAD MEDIDA DE CONVERSIÓN 4 FACTURA ELECTRÓNICA,UNIDAD MEDIDA DE CONVERSIÓN 5 FACTURA ELECTRÓNICA,APLICA IMPOCONSUMO BOLSA PLASTICA FACTURA ELECTRÓN,PORCENTAJE ALIMENTOS ULTRAPROCESADOS,VALOR BEBIDAS AZUCARADAS,CANTIDAD EN MILILITROS,TARIFA UNITARIA POR CADA 100 ML
1,1,1,ROSAS AMARILLAS                                   ,'Rosas en Paquetes Amarillas                                 ,                    ,"25,000.00",0,0,0,0,0,0,0,0,0,0,0,N,19,0,0,0,"24,000.00",UN ,0,                    ,                    ,N,          ,          ,          ,          ,          , , , , , ,0,0,0,0,0,3,      ,S,S,0, ,"860,050,371","17,610,793","901,400,913","901,399,346",0,0,0,0,"2,025",3,26,"2,025",3,31,"2,025",3,31,"2,025",3,31,"12,600.00","30,000.00","14,000.00","24,000.00",                                                                                                                                                                                                                                                                                                            ,N,N,"17,659.89",                                                                                                    ,'94  ,          ,    ,    ,    ,    ,    ,N,0,0,0,0
1,1,2,ROSAS BLANCAS                                     ,'Rosas en Paquete Blancas                                    ,                    ,"19,000.00",0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,"24,000.00",UN ,0,                    ,                    ,N,          ,          ,          ,          ,          , , , , , ,0,0,0,0,0,3,      ,S,S,0, ,"860,050,371","901,400,913","901,399,346","901,399,346",0,0,0,0,"2,025",3,26,"2,025",3,31,"2,025",3,31,"2,025",3,31,"12,600.00","14,000.00","28,000.00","24,000.00",                                                                                                                                                                                                                                                                                                            ,N,N,"16,685.75",                                                                                                    ,'94  ,          ,    ,    ,    ,    ,    ,N,0,0,0,0
1,1,3,ROSAS FUCSIA                                      ,'Rosas en Paquetes Fucsia                                    ,                    ,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,"24,000.00",UN ,0,                    ,                    ,N,          ,          ,          ,          ,          , , , , , ,0,0,0,0,0,3,      ,S,S,0, ,"901,400,913","17,610,793","901,399,346","901,399,346",0,0,0,0,"2,025",3,26,"2,025",3,31,"2,025",3,31,"2,025",3,31,"14,000.00","30,000.00","28,000.00","24,000.00",                                                                                                                                                                                                                                                                                                            ,N,N,101.49249,                                                                                                    ,'94  ,          ,    ,    ,    ,    ,    ,N,0,0,0,0
1,1,4,ROSAS ROJAS ( EXPORTACION)                        ,'Rosas en Paquetes rojas de Exportacion                      ,                    ,448.276,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,"30,000.00",UN ,0,                    ,                    ,N,          ,          ,          ,          ,          , , , , , ,0,0,0,0,0,3,      ,S,S,0, ,"901,400,913","901,400,913","901,400,913","860,050,371",0,0,0,0,"2,022",5,20,"2,022",5,20,"2,022",5,20,"2,024",5,8,910.36,910.36,910.36,"30,000.00",                                                                                                                                                                                                                                                                                                            ,N,N,"30,000.00",                                                                                                    ,'94  ,          ,    ,    ,    ,    ,    ,N,0,0,0,0
1,1,5,ROSAS ROSADAS ( EXPORTACION)                      ,'Rosas en Paquete Rosada de Exportacion                      ,                    ,482.759,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,344.82,UN ,0,                    ,                    ,N,          ,          ,          ,          ,          , , , , , ,0,0,0,0,0,3,      ,S,S,0, ,0,0,0,"860,050,371",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,016",10,31,0,0,0,344.82,                                                                                                                                                                                                                                                                                                            ,N,N,"1,195.64",                                                                                                    ,'94  ,          ,    ,    ,    ,    ,    ,N,0,0,0,0
1,1,6,ROSAS MORADAS                                     ,'Rosas en Paquete Moradas                                    ,                    ,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,"14,000.00",UN ,0,                    ,                    ,N,          ,          ,          ,          ,          , , , , , ,0,0,0,0,0,3,      ,S,S,0, ,"901,400,913","860,050,371","17,610,793","901,400,913",0,0,0,0,"2,025",3,26,"2,025",3,26,"2,025",3,31,"2,025",3,31,"14,000.00","12,600.00","30,000.00","14,000.00",                                                                                                                                                                                                                                                                                                            ,N,N,110.93062,                                                                                                    ,'94  ,          ,    ,    ,    ,    ,    ,N,0,0,0,0
1,1,7,ROSAS NARANJA                                     ,'Rosas en Paquete Naranja                                    ,                    ,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,"14,000.00",UN ,0,                    ,                    ,N,          ,          ,          ,          ,          , , , , , ,0,0,0,0,0,3,      ,S,S,0, ,"860,050,371","1,050,200,108","860,050,371","901,400,913",0,0,0,0,"2,020",7,7,"2,020",8,10,"2,023",11,17,"2,025",2,28,482.76,"12,000.00",436.97,"14,000.00",                                                                                                                                                                                                                                                                                                            ,N,N,"14,000.00",                                                                                                    ,'94  ,          ,    ,    ,    ,    ,    ,N,0,0,0,0
1,1,8,ROSAS ROJAS                                       ,'Rosas en Paquete Rojas                                      ,                    ,"19,000.00",0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,"24,000.00",UN ,0,                    ,                    ,N,          ,          ,          ,          ,          , , , , , ,0,0,0,0,0,3,      ,S,S,0, ,"860,050,371","17,610,793","901,399,346","901,399,346",0,0,0,0,"2,025",3,26,"2,025",3,31,"2,025",3,31,"2,025",3,31,"12,614.50","30,000.00","30,000.00","24,000.00",                                                                                                                                                                                                                                                                                                            ,N,N,"35,673.05",                                                                                                    ,'94  ,          ,    ,    ,    ,    ,    ,N,0,0,0,0
1,1,9,ROSAS ROSADAS                                     ,'Rosas en Paquete Rosadas                                    ,                    ,"19,000.00",0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,"14,000.00",UN ,0,                    ,                    ,N,          ,          ,          ,          ,          , , , , , ,0,0,0,0,0,3,      ,S,S,0, ,"901,400,913","860,050,371","860,050,371","901,400,913",0,0,0,0,"2,025",3,17,"2,025",3,26,"2,025",3,26,"2,025",3,31,"14,000.00","12,600.00","12,630.25","14,000.00",                                                                                                                                                                                                                                                                                                            ,N,N,"5,112.43",                                                                                                    ,'94  ,          ,    ,    ,    ,    ,    ,N,0,0,0,0
